side,joint,delta,type,elbow_x,elbow_y,elbow_z,displacement
left,combo,0,combo,-10.040006637573242,-4.763363361358643,0.6382303237915039,0.13221871852874756
left,combo,0,combo,-10.057944297790527,-4.791732311248779,0.6147225499153137,0.1133357360959053
left,combo,0,combo,-10.010818481445312,-4.773965835571289,0.6235743761062622,0.10489024221897125
left,combo,0,combo,-9.978049278259277,-4.831058979034424,0.5952550768852234,0.036759424954652786
left,combo,0,combo,-10.008498191833496,-4.799134731292725,0.6199829578399658,0.08307787030935287
left,combo,0,combo,-9.92973804473877,-4.827145576477051,0.6284112334251404,0.08141224831342697
left,combo,0,combo,-9.974344253540039,-4.792331218719482,0.6259785294532776,0.08615080267190933
left,combo,0,combo,-10.06955337524414,-4.789713382720947,0.6563898921012878,0.1435142457485199
left,combo,0,combo,-10.014965057373047,-4.811074733734131,0.6083919405937195,0.07116443663835526
left,combo,0,combo,-10.054007530212402,-4.777647972106934,0.6633629202842712,0.14495457708835602
left,combo,0,combo,-9.972713470458984,-4.826141357421875,0.6095120310783386,0.05084989219903946
left,combo,0,combo,-9.978002548217773,-4.79725980758667,0.6346195340156555,0.08853621780872345
left,combo,0,combo,-10.089757919311523,-4.833099842071533,0.6347528696060181,0.13207076489925385
left,combo,0,combo,-10.011096000671387,-4.838399887084961,0.592888593673706,0.04513242468237877
left,combo,0,combo,-10.081584930419922,-4.832512855529785,0.619427502155304,0.11809787154197693
left,combo,0,combo,-10.049667358398438,-4.7746124267578125,0.6639242172241211,0.14479471743106842
left,combo,0,combo,-10.01195240020752,-4.783620834350586,0.638299286365509,0.10656525194644928
left,combo,0,combo,-10.060171127319336,-4.794016361236572,0.6402453184127808,0.12591728568077087
left,combo,0,combo,-9.94296932220459,-4.8205342292785645,0.6315111517906189,0.07975959777832031
left,combo,0,combo,-10.037525177001953,-4.812103271484375,0.613945722579956,0.08736994117498398
left,combo,0,combo,-9.931364059448242,-4.83699893951416,0.6264663338661194,0.07581746578216553
left,combo,0,combo,-9.94710922241211,-4.794334888458252,0.648719072341919,0.1055535301566124
left,combo,0,combo,-10.013586044311523,-4.783520221710205,0.6410372853279114,0.10894506424665451
left,combo,0,combo,-10.069419860839844,-4.791037082672119,0.6583427786827087,0.14399850368499756
left,combo,0,combo,-9.940278053283691,-4.824923992156982,0.629420280456543,0.07742273062467575
left,combo,0,combo,-10.094220161437988,-4.856175422668457,0.6196514964103699,0.12702089548110962
left,combo,0,combo,-10.079899787902832,-4.791821002960205,0.6693500876426697,0.1572900414466858
left,combo,0,combo,-9.982396125793457,-4.769017219543457,0.6497645378112793,0.11942186951637268
left,combo,0,combo,-10.101239204406738,-4.8187575340271,0.659476637840271,0.15774863958358765
left,combo,0,combo,-10.002483367919922,-4.772839546203613,0.6503400206565857,0.11956687271595001
